Name,Store,Phone Number
Dolphine,Malazi Store,705098186
Diana,Malazi Store,716385181
Ken,Malazi Store,721336833
Orina,Malazi Store,746450657
Laura,Majengo Store,746450658
Clara,Majengo Store,746450659
Mara,Majengo Store,746450660
Geoda,Majengo Store,746450661
Leila,Majengo Store,746450662
Nancy,Online Dress,746450663
Adili,Online Dress,746450664
Sam,Online Dress,746450665
Ian,Online Dress,746450666
Ray,Online Dress,746450667
Mohamed,Online Furniture,746450668
Phoebe,Online Furniture,746450669
Emma,Online Furniture,746450670
